"prod","dest","mean","sd"
"Pre-consumer processes","Soil",0,0
"Pre-consumer processes","Soil (MP)",3.83095757917726e-05,1.42802083850161e-05
"Pre-consumer processes","Fresh water",0,0
"Pre-consumer processes","Fresh water (MP)",4.80093720873551e-07,2.99802769195154e-07
"Pre-consumer processes","Subsurface soil (MP)",1.09530813328586e-06,8.48079040329343e-07
"Pre-consumer processes","Coastal and ocean water",0,0
"Pre-consumer processes","Coastal and ocean water (MP)",0,0
"ConsumerFilms","Soil",0.00311872511738198,0.00123508693537821
"ConsumerFilms","Soil (MP)",0.00033100979535069,0.000122816391612501
"ConsumerFilms","Fresh water",9.79699358047622e-05,5.25777179262706e-05
"ConsumerFilms","Fresh water (MP)",0,0
"ConsumerFilms","Subsurface soil (MP)",0,0
"ConsumerFilms","Coastal and ocean water",0,0
"ConsumerFilms","Coastal and ocean water (MP)",0,0
"ConsumerBags","Soil",0.00339913409990762,0.00183974169616253
"ConsumerBags","Soil (MP)",0.000331814187070018,0.000158528484567895
"ConsumerBags","Fresh water",0.00010973808108522,8.19036955519792e-05
"ConsumerBags","Fresh water (MP)",0,0
"ConsumerBags","Subsurface soil (MP)",0,0
"ConsumerBags","Coastal and ocean water",0,0
"ConsumerBags","Coastal and ocean water (MP)",0,0
"ConsumerBottles","Soil",0.00317403761763985,0.00256151385537234
"ConsumerBottles","Soil (MP)",6.72611244706461e-05,3.06355365228848e-05
"ConsumerBottles","Fresh water",0.000110259491382126,0.000106896650556395
"ConsumerBottles","Fresh water (MP)",0,0
"ConsumerBottles","Subsurface soil (MP)",0,0
"ConsumerBottles","Coastal and ocean water",0,0
"ConsumerBottles","Coastal and ocean water (MP)",0,0
"ConsumerOther","Soil",0.00110000481146563,0.000386341477464105
"ConsumerOther","Soil (MP)",6.70031846735574e-05,2.30375471287567e-05
"ConsumerOther","Fresh water",3.39626044251876e-05,1.65275132735259e-05
"ConsumerOther","Fresh water (MP)",0,0
"ConsumerOther","Subsurface soil (MP)",0,0
"ConsumerOther","Coastal and ocean water",0,0
"ConsumerOther","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingFilms","Soil",0.00131393699094356,0.000345338119959603
"AgriculturalPackagingFilms","Soil (MP)",0.000332078841166957,0.000156654237566275
"AgriculturalPackagingFilms","Fresh water",6.99281020228318e-07,3.1706608858667e-07
"AgriculturalPackagingFilms","Fresh water (MP)",0,0
"AgriculturalPackagingFilms","Subsurface soil (MP)",0,0
"AgriculturalPackagingFilms","Coastal and ocean water",0,0
"AgriculturalPackagingFilms","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingBottles","Soil",0.0126145031738496,0.00775930671637414
"AgriculturalPackagingBottles","Soil (MP)",6.72856561282908e-05,4.2904081699212e-05
"AgriculturalPackagingBottles","Fresh water",6.94694042255684e-07,4.2509640351747e-07
"AgriculturalPackagingBottles","Fresh water (MP)",0,0
"AgriculturalPackagingBottles","Subsurface soil (MP)",0,0
"AgriculturalPackagingBottles","Coastal and ocean water",0,0
"AgriculturalPackagingBottles","Coastal and ocean water (MP)",0,0
"BuildingPackagingFilms","Soil",0.000109050916121399,8.3623355538174e-05
"BuildingPackagingFilms","Soil (MP)",0,0
"BuildingPackagingFilms","Fresh water",0,0
"BuildingPackagingFilms","Fresh water (MP)",0,0
"BuildingPackagingFilms","Subsurface soil (MP)",0,0
"BuildingPackagingFilms","Coastal and ocean water",0,0
"BuildingPackagingFilms","Coastal and ocean water (MP)",0,0
"OtherNonConsumerFilms","Soil",0.000238275526248256,9.3938306648943e-05
"OtherNonConsumerFilms","Soil (MP)",0,0
"OtherNonConsumerFilms","Fresh water",7.65223209797521e-05,4.79687022256242e-05
"OtherNonConsumerFilms","Fresh water (MP)",0,0
"OtherNonConsumerFilms","Subsurface soil (MP)",0,0
"OtherNonConsumerFilms","Coastal and ocean water",0,0
"OtherNonConsumerFilms","Coastal and ocean water (MP)",0,0
"NonConsumerBags","Soil",0.000237378748107209,0.000115640550141846
"NonConsumerBags","Soil (MP)",0,0
"NonConsumerBags","Fresh water",7.63166654762184e-05,5.77371457008799e-05
"NonConsumerBags","Fresh water (MP)",0,0
"NonConsumerBags","Subsurface soil (MP)",0,0
"NonConsumerBags","Coastal and ocean water",0,0
"NonConsumerBags","Coastal and ocean water (MP)",0,0
"NonConsumerOther","Soil",0.000238203460590901,6.42159571350415e-05
"NonConsumerOther","Soil (MP)",0,0
"NonConsumerOther","Fresh water",7.68101748676001e-05,3.25196501079696e-05
"NonConsumerOther","Fresh water (MP)",0,0
"NonConsumerOther","Subsurface soil (MP)",0,0
"NonConsumerOther","Coastal and ocean water",0,0
"NonConsumerOther","Coastal and ocean water (MP)",0,0
"PipesDucts","Soil",0,0
"PipesDucts","Soil (MP)",8.98486017959887e-07,1.0633893376775e-07
"PipesDucts","Fresh water",0,0
"PipesDucts","Fresh water (MP)",0,0
"PipesDucts","Subsurface soil (MP)",6.30372041849385e-06,7.53381715340984e-07
"PipesDucts","Coastal and ocean water",0,0
"PipesDucts","Coastal and ocean water (MP)",0,0
"Insulation","Soil",0.000106559789148682,7.84686503712699e-05
"Insulation","Soil (MP)",9.69559173413187e-05,1.9595119362515e-05
"Insulation","Fresh water",2.27941116020264e-06,1.84532757589543e-06
"Insulation","Fresh water (MP)",2.84683445334248e-06,2.05183352452302e-06
"Insulation","Subsurface soil (MP)",0,0
"Insulation","Coastal and ocean water",0,0
"Insulation","Coastal and ocean water (MP)",0,0
"WallFloorCoverings","Soil",0.00010852701809938,8.57306048908072e-05
"WallFloorCoverings","Soil (MP)",0.000403429865028943,0.000306048198399912
"WallFloorCoverings","Fresh water",0,0
"WallFloorCoverings","Fresh water (MP)",1.42545186512824e-05,1.29463298624184e-05
"WallFloorCoverings","Subsurface soil (MP)",9.68328319242793e-06,9.57849964917506e-06
"WallFloorCoverings","Coastal and ocean water",0,0
"WallFloorCoverings","Coastal and ocean water (MP)",0,0
"WindowsProfilesFittedFurniture","Soil",0,0
"WindowsProfilesFittedFurniture","Soil (MP)",0,0
"WindowsProfilesFittedFurniture","Fresh water",0,0
"WindowsProfilesFittedFurniture","Fresh water (MP)",0,0
"WindowsProfilesFittedFurniture","Subsurface soil (MP)",0,0
"WindowsProfilesFittedFurniture","Coastal and ocean water",0,0
"WindowsProfilesFittedFurniture","Coastal and ocean water (MP)",0,0
"Lining","Soil",0.00010674681898385,8.38653011825812e-05
"Lining","Soil (MP)",0,0
"Lining","Fresh water",0,0
"Lining","Fresh water (MP)",0,0
"Lining","Subsurface soil (MP)",0,0
"Lining","Coastal and ocean water",0,0
"Lining","Coastal and ocean water (MP)",0,0
"AutomotivePC","Soil",0.000694768619328513,0.000162633890259902
"AutomotivePC","Soil (MP)",0,0
"AutomotivePC","Fresh water",0,0
"AutomotivePC","Fresh water (MP)",0,0
"AutomotivePC","Subsurface soil (MP)",0,0
"AutomotivePC","Coastal and ocean water",0,0
"AutomotivePC","Coastal and ocean water (MP)",0,0
"EEEPC","Soil",0.000126545954482014,4.88266945190447e-05
"EEEPC","Soil (MP)",0,0
"EEEPC","Fresh water",6.97530955366181e-07,2.77787587101762e-07
"EEEPC","Fresh water (MP)",0,0
"EEEPC","Subsurface soil (MP)",0,0
"EEEPC","Coastal and ocean water",0,0
"EEEPC","Coastal and ocean water (MP)",0,0
"AgriculturalFilms","Soil",0.0023478896886049,0.00094045708364202
"AgriculturalFilms","Soil (MP)",0.0255898548882093,0.00658930486264523
"AgriculturalFilms","Fresh water",6.98904695300732e-07,4.24071425491419e-07
"AgriculturalFilms","Fresh water (MP)",0,0
"AgriculturalFilms","Subsurface soil (MP)",0,0
"AgriculturalFilms","Coastal and ocean water",0,0
"AgriculturalFilms","Coastal and ocean water (MP)",0,0
"AgriculturalPipes","Soil",0.0299782722506874,0.00980602562291345
"AgriculturalPipes","Soil (MP)",0.00106605172611276,0.000226373876197572
"AgriculturalPipes","Fresh water",6.97512809304685e-07,2.25185976008769e-07
"AgriculturalPipes","Fresh water (MP)",0,0
"AgriculturalPipes","Subsurface soil (MP)",0,0
"AgriculturalPipes","Coastal and ocean water",0,0
"AgriculturalPipes","Coastal and ocean water (MP)",0,0
"AgriculturalOther","Soil",0.0208863575797999,0.0073952133617499
"AgriculturalOther","Soil (MP)",0.00106759904998179,0.000296141987371364
"AgriculturalOther","Fresh water",6.99302228166436e-07,3.06698817734533e-07
"AgriculturalOther","Fresh water (MP)",0,0
"AgriculturalOther","Subsurface soil (MP)",0,0
"AgriculturalOther","Coastal and ocean water",0,0
"AgriculturalOther","Coastal and ocean water (MP)",0,0
"Household","Soil",0.00020644879898864,4.21744313628679e-05
"Household","Soil (MP)",0.000471457794497906,0.000146734677667881
"Household","Fresh water",6.97628408757347e-07,2.00650424641314e-07
"Household","Fresh water (MP)",1.43134456879037e-05,6.2921536505293e-06
"Household","Subsurface soil (MP)",9.8289647927723e-06,4.74366130653384e-06
"Household","Coastal and ocean water",0,0
"Household","Coastal and ocean water (MP)",0,0
"TamponApplicators","Soil",0.0527684740856774,0.0441457490508683
"TamponApplicators","Soil (MP)",0,0
"TamponApplicators","Fresh water",0.0057788897640107,0.00413934203276819
"TamponApplicators","Fresh water (MP)",0,0
"TamponApplicators","Subsurface soil (MP)",0,0
"TamponApplicators","Coastal and ocean water",0,0
"TamponApplicators","Coastal and ocean water (MP)",0,0
"Furniture","Soil",0.000126953853652955,3.84678834911828e-05
"Furniture","Soil (MP)",0,0
"Furniture","Fresh water",7.02652887889149e-07,2.2069149872898e-07
"Furniture","Fresh water (MP)",0,0
"Furniture","Subsurface soil (MP)",0,0
"Furniture","Coastal and ocean water",0,0
"Furniture","Coastal and ocean water (MP)",0,0
"FabricCoatings","Soil",0.000125927791964931,7.34775872167163e-05
"FabricCoatings","Soil (MP)",0.00594917658507443,0.00131834109678425
"FabricCoatings","Fresh water",6.99083509690244e-07,4.31847323955056e-07
"FabricCoatings","Fresh water (MP)",0.00107305374621341,0.000399075088662714
"FabricCoatings","Subsurface soil (MP)",0.000280917518135019,0.000215073413654207
"FabricCoatings","Coastal and ocean water",0,0
"FabricCoatings","Coastal and ocean water (MP)",0,0
"Cosmetics","Soil",0,0
"Cosmetics","Soil (MP)",0.170685294724063,0.0370111402392041
"Cosmetics","Fresh water",0,0
"Cosmetics","Fresh water (MP)",0.0311710170091929,0.0210380073507136
"Cosmetics","Subsurface soil (MP)",0.101351649184645,0.0613161770742611
"Cosmetics","Coastal and ocean water",0,0
"Cosmetics","Coastal and ocean water (MP)",0,0
"ShotgunCartridges","Soil",0.613140145159909,0.224820373562152
"ShotgunCartridges","Soil (MP)",0,0
"ShotgunCartridges","Fresh water",0.0985160201999241,0.0405243768119977
"ShotgunCartridges","Fresh water (MP)",0,0
"ShotgunCartridges","Subsurface soil (MP)",0,0
"ShotgunCartridges","Coastal and ocean water",0,0
"ShotgunCartridges","Coastal and ocean water (MP)",0,0
"OtherOther","Soil",0.000126177285219022,3.70580426478441e-05
"OtherOther","Soil (MP)",0,0
"OtherOther","Fresh water",6.98000404176799e-07,2.10602772522993e-07
"OtherOther","Fresh water (MP)",0,0
"OtherOther","Subsurface soil (MP)",0,0
"OtherOther","Coastal and ocean water",0,0
"OtherOther","Coastal and ocean water (MP)",0,0
"FishingGearOcean","Soil",NA,NA
"FishingGearOcean","Soil (MP)",NA,NA
"FishingGearOcean","Fresh water",NA,NA
"FishingGearOcean","Fresh water (MP)",NA,NA
"FishingGearOcean","Subsurface soil (MP)",NA,NA
"FishingGearOcean","Coastal and ocean water",NA,NA
"FishingGearOcean","Coastal and ocean water (MP)",NA,NA
"FishingGearInland","Soil",0,0
"FishingGearInland","Soil (MP)",0,0
"FishingGearInland","Fresh water",0,0
"FishingGearInland","Fresh water (MP)",0.00370637497903631,0.000454525916630446
"FishingGearInland","Subsurface soil (MP)",0,0
"FishingGearInland","Coastal and ocean water",0,0
"FishingGearInland","Coastal and ocean water (MP)",0,0
"FishingGearAqua","Soil",0,0
"FishingGearAqua","Soil (MP)",0,0
"FishingGearAqua","Fresh water",0,0
"FishingGearAqua","Fresh water (MP)",0,0
"FishingGearAqua","Subsurface soil (MP)",0,0
"FishingGearAqua","Coastal and ocean water",0,0
"FishingGearAqua","Coastal and ocean water (MP)",0,0
"ApparelPC","Soil",0.000124637368805281,6.74029501134372e-05
"ApparelPC","Soil (MP)",0.00367285157124048,0.00161136833049996
"ApparelPC","Fresh water",6.92727690146125e-07,3.84805998196373e-07
"ApparelPC","Fresh water (MP)",0.000327080008891655,0.000182316358171879
"ApparelPC","Subsurface soil (MP)",0.000859517389067657,0.000486783873092842
"ApparelPC","Coastal and ocean water",0,0
"ApparelPC","Coastal and ocean water (MP)",0,0
"HouseholdTextilesPC","Soil",0.000126302770659959,5.89372537843022e-05
"HouseholdTextilesPC","Soil (MP)",0.000904166384904376,0.000688293284066883
"HouseholdTextilesPC","Fresh water",7.01631738745361e-07,3.38620524853304e-07
"HouseholdTextilesPC","Fresh water (MP)",4.80290667278374e-05,3.10197085064466e-05
"HouseholdTextilesPC","Subsurface soil (MP)",8.47238366081227e-05,4.5465061586543e-05
"HouseholdTextilesPC","Coastal and ocean water",0,0
"HouseholdTextilesPC","Coastal and ocean water (MP)",0,0
"HygieneMedicalTextiles","Soil",0,0
"HygieneMedicalTextiles","Soil (MP)",0,0
"HygieneMedicalTextiles","Fresh water",0,0
"HygieneMedicalTextiles","Fresh water (MP)",0,0
"HygieneMedicalTextiles","Subsurface soil (MP)",0,0
"HygieneMedicalTextiles","Coastal and ocean water",0,0
"HygieneMedicalTextiles","Coastal and ocean water (MP)",0,0
"DisposableCleaningCloths","Soil",0.000799035372079188,0.000624222241662543
"DisposableCleaningCloths","Soil (MP)",0,0
"DisposableCleaningCloths","Fresh water",7.43985547601776e-05,6.00086538153718e-05
"DisposableCleaningCloths","Fresh water (MP)",0,0
"DisposableCleaningCloths","Subsurface soil (MP)",0,0
"DisposableCleaningCloths","Coastal and ocean water",0,0
"DisposableCleaningCloths","Coastal and ocean water (MP)",0,0
"WetWipes","Soil",0.0209651476236131,0.0145771825029412
"WetWipes","Soil (MP)",0,0
"WetWipes","Fresh water",0.00226960694333659,0.00141459964016019
"WetWipes","Fresh water (MP)",0,0
"WetWipes","Subsurface soil (MP)",0,0
"WetWipes","Coastal and ocean water",0,0
"WetWipes","Coastal and ocean water (MP)",0,0
"Tampons","Soil",0.0558637607538187,0.0282054984679407
"Tampons","Soil (MP)",0,0
"Tampons","Fresh water",0.0061106949326397,0.00260595475636193
"Tampons","Fresh water (MP)",0,0
"Tampons","Subsurface soil (MP)",0,0
"Tampons","Coastal and ocean water",0,0
"Tampons","Coastal and ocean water (MP)",0,0
"PantyLiners","Soil",0.038481305099102,0.0336719362293293
"PantyLiners","Soil (MP)",0,0
"PantyLiners","Fresh water",0.00417681989351409,0.00319397452890431
"PantyLiners","Fresh water (MP)",0,0
"PantyLiners","Subsurface soil (MP)",0,0
"PantyLiners","Coastal and ocean water",0,0
"PantyLiners","Coastal and ocean water (MP)",0,0
"SanitaryNapkins","Soil",0.0174577814339328,0.0110469260871692
"SanitaryNapkins","Soil (MP)",0,0
"SanitaryNapkins","Fresh water",0.00189225042745199,0.00105715817718765
"SanitaryNapkins","Fresh water (MP)",0,0
"SanitaryNapkins","Subsurface soil (MP)",0,0
"SanitaryNapkins","Coastal and ocean water",0,0
"SanitaryNapkins","Coastal and ocean water (MP)",0,0
"Agrotextiles","Soil",0.00112936620574857,0.000304394598737453
"Agrotextiles","Soil (MP)",0.0125065401819349,0.00598847958035512
"Agrotextiles","Fresh water",6.99397252129644e-07,3.31884609807957e-07
"Agrotextiles","Fresh water (MP)",0,0
"Agrotextiles","Subsurface soil (MP)",0,0
"Agrotextiles","Coastal and ocean water",0,0
"Agrotextiles","Coastal and ocean water (MP)",0,0
"MobilityTextiles","Soil",0,0
"MobilityTextiles","Soil (MP)",0,0
"MobilityTextiles","Fresh water",0,0
"MobilityTextiles","Fresh water (MP)",0,0
"MobilityTextiles","Subsurface soil (MP)",0,0
"MobilityTextiles","Coastal and ocean water",0,0
"MobilityTextiles","Coastal and ocean water (MP)",0,0
"Geotextiles","Soil",0.0120494429989732,0.00542811167059818
"Geotextiles","Soil (MP)",0,0
"Geotextiles","Fresh water",0,0
"Geotextiles","Fresh water (MP)",0,0
"Geotextiles","Subsurface soil (MP)",0.0120756074555287,0.00578092431551457
"Geotextiles","Coastal and ocean water",0,0
"Geotextiles","Coastal and ocean water (MP)",0,0
"BuildingTextiles","Soil",0.0121468800868593,0.00523798554990908
"BuildingTextiles","Soil (MP)",0,0
"BuildingTextiles","Fresh water",0,0
"BuildingTextiles","Fresh water (MP)",0,0
"BuildingTextiles","Subsurface soil (MP)",0,0
"BuildingTextiles","Coastal and ocean water",0,0
"BuildingTextiles","Coastal and ocean water (MP)",0,0
"TechnicalHouseholdTextiles","Soil",0.000126653366743252,6.1958971623308e-05
"TechnicalHouseholdTextiles","Soil (MP)",0.000902985588984376,0.000700501335103887
"TechnicalHouseholdTextiles","Fresh water",7.04088291499407e-07,3.54575249232387e-07
"TechnicalHouseholdTextiles","Fresh water (MP)",4.80151465359413e-05,3.14202069911981e-05
"TechnicalHouseholdTextiles","Subsurface soil (MP)",8.47951643639375e-05,4.74597336799769e-05
"TechnicalHouseholdTextiles","Coastal and ocean water",0,0
"TechnicalHouseholdTextiles","Coastal and ocean water (MP)",0,0
"TechnicalClothing","Soil",0.000125325961376098,5.7175531000143e-05
"TechnicalClothing","Soil (MP)",0.00367584257647991,0.00156959413188564
"TechnicalClothing","Fresh water",6.9861057166558e-07,3.29624753750288e-07
"TechnicalClothing","Fresh water (MP)",0.000325951125288702,0.000153344025661231
"TechnicalClothing","Subsurface soil (MP)",0.000859180083171514,0.000414861095585302
"TechnicalClothing","Coastal and ocean water",0,0
"TechnicalClothing","Coastal and ocean water (MP)",0,0
"OtherTechnicalTextiles","Soil",NA,NA
"OtherTechnicalTextiles","Soil (MP)",NA,NA
"OtherTechnicalTextiles","Fresh water",NA,NA
"OtherTechnicalTextiles","Fresh water (MP)",NA,NA
"OtherTechnicalTextiles","Subsurface soil (MP)",NA,NA
"OtherTechnicalTextiles","Coastal and ocean water",NA,NA
"OtherTechnicalTextiles","Coastal and ocean water (MP)",NA,NA
"Post-consumer processes","Soil",0.000563520111710106,0.000231997870856835
"Post-consumer processes","Soil (MP)",0.00019560596716141,5.95873938521063e-05
"Post-consumer processes","Fresh water",0,0
"Post-consumer processes","Fresh water (MP)",2.26343681756798e-05,1.15842793288874e-05
"Post-consumer processes","Subsurface soil (MP)",6.56354763391717e-05,3.45596146265384e-05
"Post-consumer processes","Coastal and ocean water",0,0
"Post-consumer processes","Coastal and ocean water (MP)",0,0
